Day,Month,Year,Location,Country
5,10,2015,Chicago,USA
7,10,2015,Copenhagen,Denmark
10,10,2015,Bucharest,Romania
12,10,2015,Panciu,Romania
17,10,2015,Focsani,Romania
21,10,2015,Istanbul,Turkey
28,10,2015,Kuala Lumpur,Malaysia
4,11,2015,Siem Reap,Cambodia
18,11,2015,Battambang,Cambodia
20,11,2015,Phnom Penh,Cambodia
21,11,2015,Sihanoukville,Cambodia
23,11,2015,Koh Rong,Cambodia
25,11,2015,Sihanoukville,Cambodia
28,11,2015,Phnom Penh,Cambodia
1,12,2015,Hong Kong,China
10,12,2015,Bangkok,Thailand
17,12,2015,Ayutthaya,Thailand
20,12,2015,Kanchanaburi,Thailand
22,12,2015,Sukhothai,Thailand
25,12,2015,Chiang Mai,Thailand
8,1,2016,Surat Thani,Thailand
9,1,2016,Koh Tao,Thailand
21,1,2016,Koh Samui,Thailand
23,1,2016,Krabi,Thailand
28,1,2016,Trang,Thailand
30,1,2016,Koh Lanta,Thailand
5,2,2016,Hat Yai,Thailand
6,2,2016,Georgetown,Malaysia
11,2,2016,Kuching,Malaysia
18,2,2016,Bandar Seri Begawan,Brunei
20,2,2016,Kota Kinabalu,Malaysia
24,2,2016,Semporna,Malaysia
25,2,2016,Mabul,Malaysia
28,2,2016,Semporna,Malaysia
1,3,2016,Kuala Lumpur,Malaysia
4,3,2016,Ipoh,Malaysia
6,3,2016,Cameron Highlands,Malaysia
8,3,2016,Perhentian Islands,Malaysia
12,3,2016,Kota Bharu,Malaysia
14,3,2016,Kuala Lumpur,Malaysia
15,3,2016,Yangon,Myanmar
18,3,2016,Bagan,Myanmar
22,3,2016,Mandalay,Myanmar
26,3,2016,Yangon,Myanmar
29,3,2016,Kuala Lumpur,Malaysia
30,3,2016,Malacca,Malaysia
1,4,2016,Singapore,Singapore
5,4,2016,Yogyakarta,Indonesia
8,4,2016,Borobudur,Indonesia
12,4,2016,Ijen Crater,Indonesia
13,4,2016,Seminyak,Indonesia
14,4,2016,Ubud,Indonesia
18,4,2016,Sanur,Indonesia
21,4,2016,Labuan Bajo,Indonesia
26,4,2016,Ho Chi Minh City,Vietnam
1,5,2016,Nha Trang,Vietnam
5,5,2016,Hoi An,Vietnam
7,5,2016,Hue,Vietnam
9,5,2016,Phong Nha,Vietnam
13,5,2016,Ba Be Lake,Vietnam
16,5,2016,Sapa,Vietnam
19,5,2016,Halong Bay,Vietnam
22,5,2016,Ho Chi Minh City,Vietnam
